year_added,type,titles_added,year_total,pct_of_year
2008.0,Movie,1,2,0.5
2008.0,TV Show,1,2,0.5
2009.0,Movie,2,2,1.0
2010.0,Movie,1,1,1.0
2011.0,Movie,13,13,1.0
2012.0,Movie,3,3,1.0
2013.0,Movie,6,10,0.6
2013.0,TV Show,4,10,0.4
2014.0,Movie,19,23,0.8260869565217391
2014.0,TV Show,4,23,0.17391304347826086
2015.0,Movie,56,73,0.7671232876712328
2015.0,TV Show,17,73,0.2328767123287671
2016.0,Movie,253,418,0.6052631578947368
2016.0,TV Show,165,418,0.39473684210526316
2017.0,Movie,839,1164,0.7207903780068728
2017.0,TV Show,325,1164,0.27920962199312716
2018.0,Movie,1237,1625,0.7612307692307693
2018.0,TV Show,388,1625,0.23876923076923076
2019.0,Movie,1424,1999,0.7123561780890445
2019.0,TV Show,575,1999,0.2876438219109555
2020.0,Movie,1284,1878,0.6837060702875399
2020.0,TV Show,594,1878,0.31629392971246006
2021.0,Movie,993,1498,0.6628838451268357
2021.0,TV Show,505,1498,0.3371161548731642
